canonical_title,aliases,creator_or_studio_network
"Solar","Solar | Solar podcast","Chris Porter | CurtCo Media"
"Story","Story | 7 Lamb Story | Story podcast","7 Lamb Productions | Bloody FM / 7 Lamb Productions | Bloody FM"
"From Now","From Now | From Now podcast | QCODE From Now","Rhys Wakefield,William Day Frank | Rhys Wakefield and William Day Frank | QCODE"
"The Deca Tapes","The Deca Tapes | DECA Tapes","Lex Noteboom | Baumhouse Productions | Realm"
"Earth Eclipsed","Earth Eclipsed | Earth Eclipsed podcast","Nicholas Prufer,AJ Churchill,Victor Lee | Nicholas Prufer | AJ Churchill | Victor Lee | The Lunar Company | Apollo Podcasts"
"Vast Horizon","Vast Horizon | Vast Horizon podcast","K.A. Statz,Travis Vengroff | K.A. Statz and Travis Vengroff | Fool & Scholar Productions"
"How I Died","How I Died | How I Died podcast","Vince Dajani | Audiohm Media | Realm"
"Windfall","Windfall | Windfall podcast | Rogue Dialogue Windfall","Bob Raymonda,Christie Donato,Adam Raymonda | Rogue Dialogue Productions"
"The Waystation","The Waystation | Waystation podcast","Elliot Somerfield | Wired Cowslip"
"We're Alive","We're Alive | We’re Alive | We're Alive: A Story of Survival | We're Alive franchise","Kc Wayland | Wayland Productions"
"Impact Winter","Impact Winter | Impact Winter podcast | Impact Winter Audible","Travis Beacham | Skybound Entertainment,Anonymous Content,Audible Originals"
"Oz 9","Oz 9 | Oz 9 podcast","Shannon Perry | Gated Galaxies | Fable & Folly Network"
"Ars Paradoxica","ars PARADOXICA | arsPARADOXICA","Mischa Stanton,Daniel Manning | Mischa Stanton and Daniel Manning | The Whisperforge"
"Red Valley","Red Valley | Red Valley Podcast","Jonathan Williams,Alan Mandel | Jonathan Williams | Alan Mandel | Red Valley | Fable & Folly"
"The White Vault","The White Vault | Goshawk | The White Vault / Goshawk","K.A. Statz,Travis Vengroff | K.A. Statz and Travis Vengroff | Fool & Scholar Productions"
"EOS 10","EOS 10 | EOS10 | EOS 10 podcast","Justin McLachlan | PlanetM"
"Desert Skies","Desert Skies | Desert Skies podcast","Jared Carter"
"Wolf 359","Wolf 359 | Wolf 359 podcast","Gabriel Urbina | Kinda Evil Genius Productions"
"Station 151","Station 151 | Station 151 podcast","Andy Scearce,Steven James Scearce | Andy Scearce and Steven James Scearce | Pale Matter Productions | Realm"
"Midnight Burger","Midnight Burger | We Open at Six | Midnight Burger podcast","Joe Fisher | Business Goose Media"
"Spectre","Spectre | Spectre podcast","Jordan Cobb | Stef Howerton | Station Blue | indie"
"The Phenomenon","The Phenomenon | The Phenomenon podcast","Jared J. Smith | Luciola Creative"
"Paralyzed","Paralyzed | Paralyzed podcast | 7 Lamb Paralyzed","7 Lamb Productions | Bloody FM / 7 Lamb Productions | Bloody FM"
"Derelict","DERELICT | Fathom | DERELICT/FATHOM","J. Barton Mitchell | Night Rocket Productions"
"Crystal Blue","Crystal Blues | Crystal Blue | 7 Lamb Crystal Blue | Crystal Blue podcast","7 Lamb Productions | Bloody FM"
"End of All Hope","End of All Hope | 7 Lamb End of All Hope","7 Lamb Productions | Bloody FM / 7 Lamb Productions | Bloody FM"
"Tower 4","Tower 4 | Tower 4 podcast | 7 Lamb Tower 4","7 Lamb Productions | Bloody FM"
"The Bright Sessions","The Bright Sessions podcast","Lauren Shippen | Atypical Artists"
"Wooden Overcoats","Wooden Overcoats podcast","David K. Barnes | Wooden Overcoats Ltd"
"Alice Isn't Dead","Alice Isnt Dead","Joseph Fink"
"Mirrors","","Jamie Killen | ZoomDoom Stories"
"Unwell","","Audacious Machine Creative"
"Midst","","Third Person | Critical Role Productions"
"The Program audio series","","IMS"
"Malevolent","","Harlan Guthrie | Rusty Quill Ltd"
"Case 63","","Julio Rojas"
"Borrasca","","Rebecca Klingel | QCODE"
"Mabel","","Becca De La Rosa,Maybell Marten | Becca De La Rosa | Mabel Martin"
"Archive 81","","Marc Sollinger,Dan Powell | Dead Signals"
"Homecoming","","Eli Horowitz and Micah Bloomberg | Gimlet Media | Gimlet"
"Welcome to Night Vale","WTNV | Welcome to Night Vale podcast","Joseph Fink,Jeffrey Cranor | Joseph Fink | Jeffrey Cranor | Night Vale Presents"
"Marsfall","","Marsfall LLC | Realm"
"The Strange Case of Starship Iris","","Jessica Best | Procyon Podcast Network"
"The Amelia Project","","Imploding Fictions"
"Victoriocity","","Chris Sugden,Jen Sugden | Chris Sugden | Jen Sugden"
"StarTripper!!","","StarTripper!!"
"The Lovecraft Investigations","","Julian Simpson | BBC Radio 4"
"Video Palace","","Nick Braccia and Mike Monello | Nick Braccia | Mike Monello | Shudder"
"Limetown","","Two-Up | Two-Up Productions"
"The Black Tapes","","Pacific Northwest Stories | THE BLACK TAPES"
"Girl in Space","","Sarah Rhea Werner | Girl In Space"
"Mockery Manor","","Long Cat Media | Lindsay Sharman | Laurence Owen | ART19"
"Forest 404","","BBC Radio 4 | Timothy X Atack | BBC"
"Greater Boston","","Alexander Danner & Jeff Van Dreason | Alexander Danner | Jeff Van Dreason | Greater Boston"
"Tumanbay","","John Scott Dryden,Mike Walker | John Scott Dryden | Mike Walker | Goldhawk Productions | iHeartPodcasts"
"Janus Descending","","No Such Thing Productions | Jordan Cobb | Nosuchthing"
"Spines","","ZoomDoom Stories"
"Caravan","","The Whisperforge | Tau Zaman"
"Oblivity","","Oblivity | Rob Stringer"
"The Once and Future Nerd","","Glass & Madera | Zach Glass | Christian Kelley-Madera"
"King Falls AM","","King Falls AM"
"Brimstone Valley Mall","","Brimstone Valley Mall | Kristen DiMercurio | ART19"
"Midnight Radio","","Martlet Radio | Bobbie Parker"
"Mission Rejected","Mission: Rejected","The Porch Room | Pete Barry | J. Michael DeAngelis | John P. Dowgin | Mission: Rejected"
"We Fix Space Junk","","Battle Bird Productions | Beth Crane | Hedley Knights"
"Harbor","","Tartarus Jenny Studios | Faraday Roke | Harbor - An Audio Drama Podcast"
"Passenger List","","Passenger List and Radiotopia | John Scott Dryden | Passenger List"
"Moonbase Theta, Out","","D.J. Sylvis"
"Flash Gordon and Buck Rogers Radio Adventurers","Flash Gordon and Buck Rogers Radio Adventurers | Flash Gordon: Chapters 23 and 24 | Flash Gordon: Chapter 25 and 26 | Buck Rogers: The Mechanical Mole, Episodes 1-4 | Buck Rogers: The Mechanical Mole: The Conclusion","Adam Graham | The Great Adventures of Old Time Radio"
"COPPERHEART: A RiggStories Audio Drama","COPPERHEART: A RiggStories Audio Drama","Michael J Rigg | RiggStories"
"The Penumbra Podcast","The Penumbra Podcast","Harley Takagi Kaner and Kevin Vibert"
"The Silt Verses","The Silt Verses","Eskew Productions Ltd | The Silt Verses"
"Old Gods of Appalachia","Old Gods of Appalachia","DeepNerd Media | Old Gods of Appalachia"
"The Storage Papers","The Storage Papers","Jeremy Enfinger"
